rep,client,recs,bytes,seconds,rec_s,mib_s,p50_us,p99_us,p999_us
1,librdkafka-2.15.0-C,170455248,174546173952,180.011,946912,924.722,97772,244125,314699
2,librdkafka-2.15.0-C,165812424,169791922176,180.011,921122,899.535,99516,256905,331600
3,librdkafka-2.15.0-C,161701292,165582123008,180.014,898267,877.217,102386,269032,349667
mean,librdkafka-2.15.0-C,,,,922100,900.492,99891,256687,331989
1,partitionline,183713586,188122712064,180.144147,1019814.3,995.912,97947,157070,183549
2,partitionline,179732564,184046145536,180.156688,997645.8,974.263,98955,160477,192020
3,partitionline,178648296,182935855104,180.131840,991764.1,968.520,99269,163117,187822
mean,partitionline,,,,1003075,979.565,98724,160221,187797
