client,rep,recs,bytes,seconds,rec_s,mib_s,p50_us,p99_us,p999_us
librdkafka-2.15.0-C,1,170455248,174546173952,180.011,946912,924.722,97772,244125,314699
librdkafka-2.15.0-C,2,165812424,169791922176,180.011,921122,899.535,99516,256905,331600
librdkafka-2.15.0-C,3,161701292,165582123008,180.014,898267,877.217,102386,269032,349667
partitionline,1,183713586,188122712064,180.144147,1019814.346271,995.912448,97947,157070,183549
partitionline,2,179732564,184046145536,180.156688,997645.802237,974.263479,98955,160477,192020
partitionline,3,178648296,182935855104,180.131840,991764.119715,968.519648,99269,163117,187822
