rep,client,recs,bytes,seconds,rec_s,mib_s,p50_us,p99_us,p999_us
1,librdkafka-2.15.0-C,166836972,170841059328,180.012,926805,905.088,100671,253094,336933
2,librdkafka-2.15.0-C,163708285,167637283840,180.014,909414,888.105,100026,256887,325376
3,librdkafka-2.15.0-C,162028657,165917344768,180.020,900055,878.964,103036,266586,334694
mean,librdkafka-2.15.0-C,,,,912091,890.719,101244,258856,332334
1,partitionline,172749151,176895130624,180.144956,958945.3,936.470,101681,160724,182965
2,partitionline,172367986,176504817664,180.159159,956753.9,934.330,101566,160872,181707
3,partitionline,174342677,178526901248,180.174947,967630.0,944.951,100996,161943,183659
mean,partitionline,,,,961110,938.584,101414,161180,182777
