client,rep,recs,bytes,seconds,rec_s,mib_s,p50_us,p99_us,p999_us
librdkafka-2.15.0-C,1,166836972,170841059328,180.012,926805,905.088,100671,253094,336933
librdkafka-2.15.0-C,2,163708285,167637283840,180.014,909414,888.105,100026,256887,325376
librdkafka-2.15.0-C,3,162028657,165917344768,180.020,900055,878.964,103036,266586,334694
partitionline,1,172749151,176895130624,180.144956,958945.254151,936.469975,101681,160724,182965
partitionline,2,172367986,176504817664,180.159159,956753.944221,934.330024,101566,160872,181707
partitionline,3,174342677,178526901248,180.174947,967629.959519,944.951132,100996,161943,183659
