client,rep,recs,bytes,seconds,rec_s,mib_s,p50_us,p99_us,p999_us
librdkafka-2.15.0-C,1,170608050,174702643200,180.010,947766,925.556,99394,247376,323470
librdkafka-2.15.0-C,2,169685971,173758434304,180.010,942643,920.554,98092,249137,309136
librdkafka-2.15.0-C,3,166506921,170503087104,180.012,924975,903.298,97912,253214,324653
partitionline,1,184687471,189119970304,180.119859,1025358.733797,1001.326888,97283,156666,185211
partitionline,2,178352034,182632482816,180.154711,989993.725586,966.790748,99555,158429,177904
partitionline,3,175985482,180209133568,180.155993,976850.555181,953.955620,99768,166838,211109
