rep,client,recs,bytes,seconds,rec_s,mib_s,p50_us,p99_us,p999_us
1,librdkafka-2.15.0-C,170608050,174702643200,180.010,947766,925.556,99394,247376,323470
2,librdkafka-2.15.0-C,169685971,173758434304,180.010,942643,920.554,98092,249137,309136
3,librdkafka-2.15.0-C,166506921,170503087104,180.012,924975,903.298,97912,253214,324653
mean,librdkafka-2.15.0-C,,,,938461,916.469,98466,249909,319086
1,partitionline,184687471,189119970304,180.119859,1025358.7,1001.327,97283,156666,185211
2,partitionline,178352034,182632482816,180.154711,989993.7,966.791,99555,158429,177904
3,partitionline,175985482,180209133568,180.155993,976850.6,953.956,99768,166838,211109
mean,partitionline,,,,997401,974.024,98869,160644,191408
