rep,client,recs,bytes,seconds,rec_s,mib_s,p50_us,p99_us,p999_us
1,librdkafka-2.15.0-C,175571447,179785161728,180.012,975327,952.473,93573,234134,286869
2,librdkafka-2.15.0-C,167679436,171703742464,180.009,931503,909.674,100697,253143,315489
3,librdkafka-2.15.0-C,173957974,178132965376,180.010,966378,943.730,94137,239044,310110
mean,librdkafka-2.15.0-C,,,,957736,935.292,96136,242107,304156
1,partitionline,186466716,190941917184,180.163695,1034985.0,1010.728,97206,152941,178008
2,partitionline,179170287,183470373888,180.156229,994527.3,971.218,99772,158934,191164
3,partitionline,178472133,182755464192,180.208654,990363.8,967.152,99866,159055,183888
mean,partitionline,,,,1006625,983.033,98948,156977,184353
