client,rep,recs,bytes,seconds,rec_s,mib_s,p50_us,p99_us,p999_us
librdkafka-2.15.0-C,1,175571447,179785161728,180.012,975327,952.473,93573,234134,286869
librdkafka-2.15.0-C,2,167679436,171703742464,180.009,931503,909.674,100697,253143,315489
librdkafka-2.15.0-C,3,173957974,178132965376,180.010,966378,943.730,94137,239044,310110
partitionline,1,186466716,190941917184,180.163695,1034984.968736,1010.727509,97206,152941,178008
partitionline,2,179170287,183470373888,180.156229,994527.295876,971.218062,99772,158934,191164
partitionline,3,178472133,182755464192,180.208654,990363.831888,967.152180,99866,159055,183888
