client,rep,recs,bytes,seconds,rec_s,mib_s,p50_us,p99_us,p999_us
librdkafka-2.15.0-C,1,171268510,175378954240,180.008,951445,929.150,98641,244076,306733
librdkafka-2.15.0-C,2,170550192,174643396608,180.012,947434,925.232,97607,243319,299072
librdkafka-2.15.0-C,3,168133143,172168338432,180.017,933983,912.095,101174,249838,304969
partitionline,1,182780062,187166783488,180.159475,1014545.9,990.768,98499,152441,173393
partitionline,2,176353073,180585546752,180.136470,978997.1,956.052,100545,158408,202826
partitionline,3,175855131,180075654144,180.183763,975976.6,953.102,100598,161660,181613
