rep,client,recs,bytes,seconds,rec_s,mib_s,p50_us,p99_us,p999_us
1,librdkafka-2.15.0-C,169012283,173169800192,180.010,938901,917.436,97996,269723,381306
2,librdkafka-2.15.0-C,171961445,176187392000,180.011,955278,933.417,96125,244225,299560
3,librdkafka-2.15.0-C,171733739,175956950016,180.011,954016,932.196,98216,240783,302249
mean,librdkafka-2.15.0-C,,,,949398,927.683,97446,251577,327705
1,partitionline,78457955,80340945920,180.072136,435702.9,425.491,235737,447520,470174
2,partitionline,78035730,79908587520,180.142929,433187.9,423.035,236334,450800,471644
3,partitionline,78261683,80139963392,180.097128,434552.6,424.368,239260,448967,467407
mean,partitionline,,,,434481,424.298,237110,449096,469742
